date,MFI
2013-01-21,29.6053
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,68.4211
2013-01-31,68.4211
2013-02-01,68.4211
2013-02-04,68.4211
2013-02-05,68.4211
2013-02-06,68.4211
2013-02-07,68.4211
2013-02-08,68.4211
2013-02-11,68.4211
2013-02-12,68.4211
2013-02-13,68.4211
2013-02-14,100.0
2013-02-15,100.0
2013-02-19,100.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,49.1803
2013-03-22,49.1803
2013-03-25,49.1803
2013-03-26,47.4684
2013-03-27,93.1677
2013-03-28,93.1677
2013-04-01,93.1677
2013-04-02,93.1677
2013-04-03,72.8155
2013-04-04,72.8155
2013-04-05,72.8155
2013-04-08,72.8155
2013-04-09,72.8155
2013-04-10,72.8155
2013-04-11,0.0
2013-04-12,21.1268
2013-04-15,21.1268
2013-04-16,25.0
2013-04-17,92.201
2013-04-18,93.353
2013-04-19,97.3483
2013-04-22,97.3483
2013-04-23,80.2136
2013-04-24,80.2136
2013-04-25,80.2136
2013-04-26,80.2136
2013-04-29,80.2136
2013-04-30,80.2136
2013-05-01,80.2136
2013-05-02,78.9639
2013-05-03,78.9639
2013-05-06,78.9639
2013-05-07,71.9748
2013-05-08,70.0501
2013-05-09,-0.0
2013-05-10,-0.0
2013-05-13,-0.0
2013-05-14,-0.0
2013-05-15,-0.0
2013-05-16,-0.0
2013-05-17,37.7526
2013-05-21,34.4271
2013-05-22,77.2367
2013-05-23,78.9631
2013-05-24,80.3169
2013-05-27,80.3169
2013-05-28,80.3169
2013-05-29,80.3169
2013-05-30,80.3169
2013-05-31,96.4861
2013-06-03,96.4861
2013-06-04,96.4861
2013-06-05,96.4861
2013-06-06,96.4861
2013-06-07,95.9267
2013-06-10,100.0
2013-06-11,100.0
2013-06-12,100.0
2013-06-13,0.0
2013-06-14,0.0
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,0.0
2013-06-24,0.0
2013-06-25,0.0
2013-06-26,0.0
